Latitude,SqFtTotLiving,SqFt2ndFloor,Longitude,YrBuilt,SqFtFinBasement,SqFt1stFloor
47.6537001,2040,0,-122.4070517,1947,1140,900
47.5587699,1540,520,-122.3632249,2016,0,520
47.6076199,2340,0,-122.1926516,1959,670,1670
47.5655485,1980,0,-122.3163252,1929,600,1380
47.3069109,1280,0,-122.368774,1966,0,1280
47.5135674,990,0,-122.3182361,1932,0,990
47.7710658,2110,0,-122.1201572,1977,700,1410
47.5655682,2720,0,-122.1541547,1962,1000,1720
47.6825956,2450,0,-122.2667885,1949,1200,1250
47.5982339,1810,580,-122.3068992,2019,580,650
47.7663977,1120,0,-122.311379,1977,320,800
47.5057655,5250,1970,-122.1477153,2016,1390,1890
47.6993931,3170,1740,-122.1641189,2018,0,1430
47.760982,2000,0,-122.092659,1978,810,1190
47.687826,1200,0,-122.3488767,1900,0,790
47.5539881,1320,500,-122.3821644,2018,0,460
47.6698443,1530,0,-122.3583652,1927,0,990
47.6375573,1810,0,-122.4019474,1950,460,1350
47.3805363,2070,0,-122.2792405,1976,800,1270
47.5685208,670,180,-122.3603439,2018,230,260
47.7739327,2360,0,-122.3598797,1955,0,2360
47.6789352,890,0,-122.2038307,1941,0,890
47.5587705,1730,0,-122.2954994,1954,800,930
47.6304581,2450,1060,-122.0980676,1967,0,1390
47.6726582,2320,1130,-122.2708105,2018,0,1190
47.352008,2334,1350,-122.136385,2018,0,984
47.2938513,1300,0,-122.2205381,1955,0,1300
47.6833613,1110,0,-122.3797309,1944,0,770
47.4361968,3188,1477,-122.1573894,2019,0,1711
47.5068428,1280,0,-122.3483599,1959,0,1280
47.5150437,2880,0,-122.2005073,1970,1320,1560
47.6707095,3100,1750,-122.1746072,2018,0,1350
47.6345474,3220,0,-122.3029646,1924,320,1530
47.5505909,2800,1060,-122.2202224,1961,0,1740
47.662656,1810,0,-122.351958,1921,0,1160
47.6038126,1260,480,-122.3115211,2018,320,460
47.6769718,1220,0,-122.3904936,1945,0,810
47.6090955,1790,0,-122.1249784,1958,570,1220
47.541034,1660,640,-122.3225301,2008,380,640
47.5999935,1100,380,-122.3063704,2017,340,380
47.6965966,1130,0,-122.3213212,1953,0,1130
47.59631,1730,680,-122.2975318,2017,370,680
47.6438032,2620,1200,-122.4099849,1940,350,1070
47.6907913,1200,360,-122.3802804,2017,370,470
47.6095968,1940,750,-122.3111474,2019,440,750
47.5569135,840,420,-122.3631752,2018,0,420
47.733662,5270,2240,-122.35673,1928,0,3030
47.4801601,1910,0,-122.2238105,1967,600,1310
47.5046223,920,0,-122.3307506,1948,0,920
47.5924424,1640,570,-122.3023205,2015,460,610
47.6211545,1190,370,-122.298037,2017,410,410
47.6082759,870,0,-122.3057699,1903,0,870
47.4956128,1090,0,-122.3142049,1958,0,1090
47.6029724,2320,1210,-122.2141312,1976,0,1110
47.4837362,1480,0,-122.3428027,1954,0,1480
47.4509133,1430,0,-122.1802762,1958,0,1430
47.5336218,3020,1690,-122.1704554,2017,0,1330
47.690348,1430,500,-122.3804422,2017,450,480
47.5836829,950,0,-122.3886695,1926,0,950
47.5410203,880,0,-122.3928836,1921,0,880
47.6423215,2840,860,-122.3702963,1913,860,1120
47.5653923,1410,430,-122.3640719,2017,0,460
47.5416233,1350,340,-122.3877522,2017,490,520
47.7223625,3180,0,-122.3687341,1957,1370,1810
47.6720821,1540,0,-122.3948756,1910,0,910
47.722093,2760,0,-122.357848,1950,1010,1280
